Category,Yr2015,Yr2016,Yr2017,Yr2018,Yr2019,Yr2020,Yr2021
0  -   4,337.9,331.4,324.6,319.3,315.2,309.5,302.6
5  -   9,349.3,355.3,359.1,356.9,352.3,344.1,335.0
10 - 14,314.4,318.9,323.3,332.6,341.4,350.0,358.0
15 - 19,296.1,301.2,308.5,316.2,319.9,323.9,325.3
20 - 24,275.5,273.5,276.3,289.3,298.1,307.2,310.3
25 - 29,298.7,296.7,292.4,291.1,289.2,292.2,291.6
30 - 34,369.2,360.3,347.9,335.8,330.8,324.0,317.2
35 - 39,379.8,388.1,394.6,398.3,397.0,386.5,375.7
40 - 44,353.0,356.5,363.1,369.9,379.9,393.7,402.1
45 - 49,317.0,324.9,333.1,341.2,351.1,358.5,364.4
50 - 54,295.2,298.4,303.3,306.7,310.5,316.0,324.0
55 - 59,260.6,268.2,274.0,279.9,285.9,292.7,297.2
60 - 64,230.8,236.5,242.3,246.5,253.8,258.9,265.9
65 - 69,203.6,208.0,211.3,215.8,219.3,224.2,229.2
70 - 74,150.8,159.9,169.2,177.7,184.8,190.8,194.3
75 - 79,112.2,114.2,116.8,121.9,127.5,134.1,142.8
80 - 84,78.8,80.5,82.9,85.1,87.4,89.8,91.4
85 years and over,64.9,67.3,69.7,73.0,77.3,81.2,84.6
